Name,link
臺北市私立衛理女子高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E8%A1%9B%E7%90%86%E5%A5%B3%E5%AD%90%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立泰北高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E6%B3%B0%E5%8C%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立華岡藝術學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E8%8F%AF%E5%B2%A1%E8%97%9D%E8%A1%93%E5%AD%B8%E6%A0%A1
臺北市私立惇敘高級工商職業學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E6%83%87%E6%95%98%E9%AB%98%E7%B4%9A%E5%B7%A5%E5%95%86%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1
臺北市私立奎山實驗高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E5%A5%8E%E5%B1%B1%E5%AF%A6%E9%A9%97%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立內湖高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%85%A7%E6%B9%96%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立內湖高級工業職業學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%85%A7%E6%B9%96%E9%AB%98%E7%B4%9A%E5%B7%A5%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1
臺北市立麗山高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E9%BA%97%E5%B1%B1%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立南湖高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%8D%97%E6%B9%96%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立南港高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%8D%97%E6%B8%AF%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立南港高級工業職業學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%8D%97%E6%B8%AF%E9%AB%98%E7%B4%9A%E5%B7%A5%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1
臺北市立育成高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E8%82%B2%E6%88%90%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
國立臺灣戲曲學院,/wiki/%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E6%88%B2%E6%9B%B2%E5%AD%B8%E9%99%A2
臺北市私立方濟高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E6%96%B9%E6%BF%9F%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立文德女子高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E6%96%87%E5%BE%B7%E5%A5%B3%E5%AD%90%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立達人高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E9%81%94%E4%BA%BA%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市立啟聰學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%95%9F%E8%81%B0%E5%AD%B8%E6%A0%A1
臺北市立臺北特殊教育學校（頁面不存在）,/w/index.php?title=%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E8%87%BA%E5%8C%97%E7%89%B9%E6%AE%8A%E6%95%99%E8%82%B2%E5%AD%B8%E6%A0%A1&action=edit&redlink=1
臺北市立啟明學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%95%9F%E6%98%8E%E5%AD%B8%E6%A0%A1
臺北市立文山特殊教育學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E6%96%87%E5%B1%B1%E7%89%B9%E6%AE%8A%E6%95%99%E8%82%B2%E5%AD%B8%E6%A0%A1
臺北市私立育英高級中學（頁面不存在）,/w/index.php?title=%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E8%82%B2%E8%8B%B1%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8&action=edit&redlink=1
臺北市私立恕德家事商業職業學校,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E6%81%95%E5%BE%B7%E5%AE%B6%E4%BA%8B%E5%95%86%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1
臺北市私立志仁高級家事商業職業學校（頁面不存在）,/w/index.php?title=%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E5%BF%97%E4%BB%81%E9%AB%98%E7%B4%9A%E5%AE%B6%E4%BA%8B%E5%95%86%E6%A5%AD%E8%81%B7%E6%A5%AD%E5%AD%B8%E6%A0%A1&action=edit&redlink=1
臺北市私立中興高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E4%B8%AD%E8%88%88%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
臺北市私立立人高級中學,/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E7%A7%81%E7%AB%8B%E7%AB%8B%E4%BA%BA%E9%AB%98%E7%B4%9A%E4%B8%AD%E5%AD%B8
